N-NUMBER,AIRLINE,MANUFACTURER,MODEL,SEATS
423AA,AMERICAN AIRLINES INC.,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
423WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
424AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
424WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
425LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
426AA,AMERICAN AIRLINES INC.,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
426WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
427AA,AMERICAN AIRLINES INC.,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
427WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
428WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
429AA,AMERICAN AIRLINES INC.,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
429WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
430AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
430WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
431WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
432WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
433AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
433LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
433UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
434AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
434UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
434WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
435AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
435UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
435WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
436AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
436UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
436WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
437AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
437UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
437WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
438AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
438UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
438WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
439AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
439UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
439WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
440LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
440UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
441UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
441WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
442UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
442WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
443UA,UNITED AIR LINES INC.,AIRBUS INDUSTRIE,A320-232,200
443WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
444UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
444WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
445UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
445WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
44503,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
446UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
446WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
4460C,CONTINENTAL AIRLINES INC,CAMERON BALLOONS US,N-105,6
447UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
447WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
448UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
448WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
449UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
449WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
450WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
451UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
451WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
452UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
452WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
453UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
453WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
454UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
454WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
45440,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
455UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
455WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
456UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
456WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
457UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
457WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
458UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
458WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
459UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
459WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
460UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
460WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
461UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
461WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
462UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
462WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
463UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
463WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
464UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
464WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
465UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
465WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
466AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
466UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
467AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
467UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
467WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
468AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
468UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
468WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
469AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
469UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
469WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
470AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
470UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
470WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
471AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
471UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
472AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
472UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
472WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
473AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
473UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
473WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
474,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
474UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
474WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
47414,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
475AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
475UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
475WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
476AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
476UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
476WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
477AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
477AC,CONTINENTAL AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
477UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
477WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
478AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
478AC,CONTINENTAL AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
478UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
478WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
479AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
479UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
479WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
480AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
480UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
480WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
481AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
481WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
48127,CONTINENTAL AIRLINES INC,BOEING,757-224,178
482AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
482WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
483A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
483WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
484AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
484WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
485AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
485WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
486AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
486UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
486WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
487AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
487UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
487WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
488AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
488UA,UNITED AIR LINES INC,AIRBUS INDUSTRIE,A320-232,200
488WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
489AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
489WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
490AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
490UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
490WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
491AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
491UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
491WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
492AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
492UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
492WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
493AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
493UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
493WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
494AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
494UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
494WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
495UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
495WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
496UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
496WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
497UA,UNITED AIR LINES INC,AIRBUS,A320-232,200
497WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
498WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
499AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
499WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
501AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
501SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
501US,DELTA AIR LINES INC,BOEING,757-251,178
502US,DELTA AIR LINES INC,BOEING,757-251,178
503SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
503US,DELTA AIR LINES INC,BOEING,757-251,178
504SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
505AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
505SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
505UA,UNITED AIR LINES INC,BOEING,757-222,178
507US,DELTA AIR LINES INC,BOEING,757-251,178
512SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
513SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
516US,DELTA AIR LINES INC,BOEING,757-251,178
517US,DELTA AIR LINES INC,BOEING,757-251,178
519SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
519US,DELTA AIR LINES INC,BOEING,757-251,178
520SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
520US,DELTA AIR LINES INC,BOEING,757-251,178
521SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
521US,DELTA AIR LINES INC,BOEING,757-251,178
522SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
523SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
524SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
525SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
526SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
527SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
528SW,SOUTHWEST AIRLINES CO,BOEING,737-5H4,149
528US,DELTA AIR LINES INC,BOEING,757-251,178
529US,DELTA AIR LINES INC,BOEING,757-251,178
530US,DELTA AIR LINES INC,BOEING,757-251,178
531US,DELTA AIR LINES INC,BOEING,757-251,178
532US,DELTA AIR LINES INC,BOEING,757-251,178
533US,DELTA AIR LINES INC,BOEING,757-251,178
534US,DELTA AIR LINES INC,BOEING,757-251,178
53441,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
53442,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
537US,DELTA AIR LINES INC,BOEING,757-251,178
544US,DELTA AIR LINES INC,BOEING,757-251,178
545US,DELTA AIR LINES INC,BOEING,757-251,178
546US,DELTA AIR LINES INC,BOEING,757-251,178
547US,DELTA AIR LINES INC,BOEING,757-251,178
548US,DELTA AIR LINES INC,BOEING,757-251,178
549US,DELTA AIR LINES INC,BOEING,757-251,178
550NW,DELTA AIR LINES INC,BOEING,757-251,178
551NW,DELTA AIR LINES INC,BOEING,757-251,178
552NW,DELTA AIR LINES INC,BOEING,757-251,178
553NW,DELTA AIR LINES INC,BOEING,757-251,178
554NW,DELTA AIR LINES INC,BOEING,757-251,178
555NW,DELTA AIR LINES INC,BOEING,757-251,178
556NW,DELTA AIR LINES INC,BOEING,757-251,178
557NW,DELTA AIR LINES INC,BOEING,757-251,178
567AM,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
567UA,UNITED AIR LINES INC,BOEING,757-222,178
568UA,UNITED AIR LINES INC,BOEING,757-222,178
56859,CONTINENTAL AIRLINES INC,BOEING,757-324,275
569UA,UNITED AIR LINES INC,BOEING,757-222,178
570UA,UNITED AIR LINES INC,BOEING,757-222,178
571UA,UNITED AIR LINES INC,BOEING,757-222,178
572UA,UNITED AIR LINES INC,BOEING,757-222,178
57439,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
576AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
57852,CONTINENTAL AIRLINES INC,BOEING,757-324,275
57855,CONTINENTAL AIRLINES INC,BOEING,757-324,275
57857,CONTINENTAL AIRLINES INC,BOEING,757-324,275
579UA,UNITED AIR LINES INC,BOEING,757-222,178
580UA,UNITED AIR LINES INC,BOEING,757-222,178
581AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
581NW,DELTA AIR LINES INC,BOEING,757-351,275
581UA,UNITED AIR LINES INC,BOEING,757-222,178
582AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
582NW,DELTA AIR LINES INC,BOEING,757-351,275
582UA,UNITED AIR LINES INC,BOEING,757-222,178
583AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
583NW,DELTA AIR LINES INC,BOEING,757-351,275
584NW,DELTA AIR LINES INC,BOEING,757-351,275
584UA,UNITED AIR LINES INC,BOEING,757-222,178
585AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
585NW,DELTA AIR LINES INC,BOEING,757-351,275
586AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
586NW,DELTA AIR LINES INC,BOEING,757-351,275
586UA,UNITED AIR LINES INC,BOEING,757-222,178
587NW,DELTA AIR LINES INC,BOEING,757-351,275
587UA,UNITED AIR LINES INC,BOEING,757-222,178
588NW,DELTA AIR LINES INC,BOEING,757-351,275
588UA,UNITED AIR LINES INC,BOEING,757-222,178
589NW,DELTA AIR LINES INC,BOEING,757-351,275
589UA,UNITED AIR LINES INC,BOEING,757-222,178
590AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
590NW,DELTA AIR LINES INC,BOEING,757-351,275
590UA,UNITED AIR LINES INC,BOEING,757-222,178
59053,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
591AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
591NW,DELTA AIR LINES INC,BOEING,757-351,275
592AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
592NW,DELTA AIR LINES INC,BOEING,757-351,275
592UA,UNITED AIR LINES INC,BOEING,757-222,178
593AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
593NW,DELTA AIR LINES INC,BOEING,757-351,275
593UA,UNITED AIR LINES INC,BOEING,757-222,178
59338,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
594AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
594NW,DELTA AIR LINES INC,BOEING,757-351,275
594SW,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2B19,55
594UA,UNITED AIR LINES INC,BOEING,757-222,178
595AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
595NW,DELTA AIR LINES INC,BOEING,757-351,275
595SW,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2B19,55
595UA,UNITED AIR LINES INC,BOEING,757-222,178
596AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
596NW,DELTA AIR LINES INC,BOEING,757-351,275
596UA,UNITED AIR LINES INC,BOEING,757-222,178
597AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
597SW,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2B19,55
597UA,UNITED AIR LINES INC,BOEING,757-222,178
